COVID-19 People Fully Vaccinated from 22/Jan/2020 to 16/May/2022
People received vaccine (count)
Source: Our World in Data - https://ourworldindata.org/covid-deaths

1
2021-01-10,United States,dummy,1204971.0,North America

18
2021-01-11,Argentina,dummy,34.0,South America
2021-01-11,Belgium,dummy,223.0,Europe
2021-01-11,Canada,dummy,3973.0,North America
2021-01-11,Czechia,dummy,11.0,Europe
2021-01-11,Denmark,dummy,4.0,Europe
2021-01-11,Estonia,dummy,265.0,Europe
2021-01-11,France,dummy,57.0,Europe
2021-01-11,Germany,dummy,24.0,Europe
2021-01-11,Ireland,dummy,78.0,Europe
2021-01-11,Israel,dummy,25310.0,Asia
2021-01-11,Italy,dummy,18.0,Europe
2021-01-11,Latvia,dummy,11.0,Europe
2021-01-11,Norway,dummy,43.0,Europe
2021-01-11,Singapore,dummy,13.0,Asia
2021-01-11,Slovenia,dummy,3.0,Europe
2021-01-11,Switzerland,dummy,81.0,Europe
2021-01-11,United Kingdom,dummy,412167.0,Europe
2021-01-11,United States,dummy,1529256.0,North America

18
2021-01-12,Argentina,dummy,44.0,South America
2021-01-12,Belgium,dummy,255.0,Europe
2021-01-12,Canada,dummy,5530.0,North America
2021-01-12,Czechia,dummy,13.0,Europe
2021-01-12,Denmark,dummy,6.0,Europe
2021-01-12,Estonia,dummy,309.0,Europe
2021-01-12,France,dummy,72.0,Europe
2021-01-12,Germany,dummy,25.0,Europe
2021-01-12,Ireland,dummy,88.0,Europe
2021-01-12,Israel,dummy,60976.0,Asia
2021-01-12,Italy,dummy,18.0,Europe
2021-01-12,Latvia,dummy,14.0,Europe
2021-01-12,Norway,dummy,52.0,Europe
2021-01-12,Singapore,dummy,15.0,Asia
2021-01-12,Slovenia,dummy,3.0,Europe
2021-01-12,Switzerland,dummy,91.0,Europe
2021-01-12,United Kingdom,dummy,428232.0,Europe
2021-01-12,United States,dummy,1844453.0,North America

19
2021-01-13,Argentina,dummy,45.0,South America
2021-01-13,Belgium,dummy,394.0,Europe
2021-01-13,Canada,dummy,13302.0,North America
2021-01-13,Chile,dummy,1032.0,South America
2021-01-13,Czechia,dummy,13.0,Europe
2021-01-13,Denmark,dummy,11.0,Europe
2021-01-13,Estonia,dummy,418.0,Europe
2021-01-13,France,dummy,100.0,Europe
2021-01-13,Germany,dummy,25.0,Europe
2021-01-13,Ireland,dummy,93.0,Europe
2021-01-13,Israel,dummy,117843.0,Asia
2021-01-13,Italy,dummy,18.0,Europe
2021-01-13,Latvia,dummy,20.0,Europe
2021-01-13,Norway,dummy,62.0,Europe
2021-01-13,Singapore,dummy,16.0,Asia
2021-01-13,Slovenia,dummy,5.0,Europe
2021-01-13,Switzerland,dummy,219.0,Europe
2021-01-13,United Kingdom,dummy,437977.0,Europe
2021-01-13,United States,dummy,2115436.0,North America

19
2021-01-14,Argentina,dummy,45.0,South America
2021-01-14,Belgium,dummy,424.0,Europe
2021-01-14,Canada,dummy,16373.0,North America
2021-01-14,Chile,dummy,5829.0,South America
2021-01-14,Czechia,dummy,17.0,Europe
2021-01-14,Denmark,dummy,12.0,Europe
2021-01-14,Estonia,dummy,530.0,Europe
2021-01-14,France,dummy,168.0,Europe
2021-01-14,Germany,dummy,25.0,Europe
2021-01-14,Ireland,dummy,97.0,Europe
2021-01-14,Israel,dummy,186673.0,Asia
2021-01-14,Italy,dummy,18.0,Europe
2021-01-14,Latvia,dummy,25.0,Europe
2021-01-14,Norway,dummy,72.0,Europe
2021-01-14,Singapore,dummy,17.0,Asia
